Judul Video,Akun Komentar,Komentar,Likes,Waktu Komentar;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@sulismarliana6411,So sweet ❤ 35:20,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@muhammmad_rusqi,""terimakasih bang feri saya sebagai orang Aceh asli sangat mengapresiasi warga bantu warga movement ini, sangat sedih melihat saudara"""" saya dan keluarga yang terdampak. Saya cuman bisa bantu lewat doa semoga ini cepat pulih dan ucapan terimakasih juga saya sampaikan kepada relawan dan teman"""" yang turut membantu termasuk jurnalis"""", pemimpin yang bertangung jawab semoga kelak amal ini dapat memudahkan di akhirat"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@almunirmunir5276,Teruslah berbuat baik..untuk membangun negeri ini...,1,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@royansyauqi9210,""""""Hal yg baik juga harus disampaikan dgn baik"""" -bung ferry 🔥"",1,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@IkwanMuhammad,""Bilangin ke pemerintah dan para pejabat ";
Kalian itu pengen sejahtera sendiri kan;
"Rakyat kecil kalian pelihara buat pemilu"",1,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Chickquest-99,""Terima kasih bang Ferry Irwandi atas bntuannya, baik moril maupun spirituil ...";
sebagai info tambahan saja, saat bang Irwandi datang ke takengon-bener meriah itu klo gak salah sudah minggu ke 3 dan Alhamdulillah lampu mulai nyala, jaringan juga sudah mulai agak bagus dan warung-warung jualan mie aceh juga pake kayu, bukan gas...;
;
Andai bang ferry Irwandi datang minggu kedua... itu pasti gelap gulita, toko nggak ada yg buka kecuali kelontong/sembako... krn klo gak dibuka akan dijarah oleh OKNUM, soalnya ada kejadian di SIMPANG TIGA.;
;
"Intinya .. kami berterima kasih untuk bang Ferry dan juga MAsyarakat Indonesia atas bantuan dan kepeduliannya kepada kami Bener Meriah.. doakan kami semuanya cepat bisa beraktivitas kembali."",4,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@60Detik-999,""kamu gua sama dia, satu satu nya pemuda yang berani mengambil keputusan mana aktivis dan mana relawan"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@KIw-cy4kr,""Kerahkan angkutan darat/udara untuk orang² yang terkena bencana di aceh/sumatra, angkut ke satu/dua titik. Supaya suply makanan/pakaian/tenda, dll dapat terbagi merata."",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@bagasfauzi3500,""Lucu komennya, sama bang Ferry suruh bersatu tapi masih caci maki wkwk"",2,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@ALIARISWANTO,""Belum ada 24 jam, sudah hampir 1,5 juta yg nonton....mantap kali Exposurenya nih, tepat moment, tepat konteks."",1,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@dianhartini979,Pinter bget abang ini.. ❤,1,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@layanglayang742,Menjelang 2029 byk partai caleg atau calon2 apa mikir keras gimana caranya dpt endorse an dr elu bang! Karna kalo ditawar duit mrk yakin elu ga mau. Duit lu dah byk juga,1,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@bahagiahidup3188,MANTAB BANG FERRY.. NANTI LANJUT PILIH PARTAI.. YANG BAGUS. 👍👍👍👍,1,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@WanAbud-007,Relawan no.1 tampil di podcast buzzer no.1 😂,1,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@DadangSuhendarS.pd.i,""Menurut angka 10 miliar itu kecil dibandingkan triliun bantuan pemerintah, tapi multi efek player nya jauh lebih besar dari uang pemerintah. Karena 10 miliar ini dibawa dengan hati yang ikhlas dan bertanggung jawab"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@roliahsyahrul3936,Ferry irwandi cocoknya jd kepala bnpb atau mensos dr pada yg pintar ngomong dan kerja dibalik mejs.,1,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@hadisofyan6068,""Terima kasih banyak Bg feri utk Aceh, semoga Allah meridhoi"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@MuhammadMuhyidin-d5k,""Ya allah.... ";
"Yang di tunggu-tunggu...."",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@fiwulanda1930,Bang fer jaga diri jaga kesehatan,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@tianhari2744,""Ayo siapa yg ngeliat om deddy , ternyata beliau ini nyumbang untuk Sumatera, dia gk mau membahas Bencana tersebut krn beliau nunggu bang Ferry"",1,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@yonson55hasan76,Mksh banyak bg Ferry,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@antoniusdeddy9842,Presiden Rakyat ya Bang Ferry ... sehat sehat ya bang ...,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@jessica18044,Yg heboh pemerintah klarifikasi aneh22...,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@akhmadbakhtiar8168,Sehat sehat om Feri,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@majazi1312,gas om ded berangkat,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@lusia.kurnia3241,Terima kasih...,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@sherly0106,Kayu gelonggongan kaga dibahas nih om Ded?,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@ibrahimadjie5654,""Sehat selalu Fery, jaga kesehatan , dan tetap bantu mereka yg membutuhkan , semoga ruh ruh dan jiwa sense of belonging from founding father Indonesia yg dari Minang , masuk ke dirimu untuk negara ini."",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@yunisolo7440,Ko tiba2 bhas bncana Sumatra,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Gitarisamatir,""Tpi DPR nya nggonggongin Bang Ferry... PEMERINTAH bilang belum seberapa, pemerintah membantu sudah TRILIUNAN..."",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@faker55555,""Influencer yang mengaku jadi kurir🎉";
"Pejabat yang ngaku penguasa  tapi bukanya kerja malah kabur😂"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@CintayaSutarasihin,""34:39 Pernah nikah 11 tahun gak om?? FLEXING terbesar bang ferry yang gak akan pernah bisa dicapai om ded, ini recall2 depan base lawan parah banget 🤣🤣🤣"",9,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@didikdarmadi4639,Inspirasi yg sangat LUAR BIASA👍👍👍👍👍,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@RioEss-cc5df,Pejabat d0ng0 bilang : negara udah triliunan biasa aja 😢,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@AS-ih8yl,Bentar lgi buba,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Agus-ut1sh,""Respect buat u bang ferry, netizen juga tau..semua juga tau hati u tulus, tapi pemerintah jadi baper akan aksi u yg semua org juga tau";
"Seharusnya pemerintah disini mendukung tindakan bang ferry..atas kecepatan, ketepatan dan keefektifan yg dilakukan bang ferry"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@dikaferi4797,Beberapa konten sebelah malah menggiring terjadinya konfik.ini konten vibenya positif banget👍,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@muhammadfadildrg9817,""Salfok sama pertanyaan ferry, kampret emg 😂. Proude of brother terima kasih dari pemuda aceh"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@ayasigit7363,""Panjang umur bang ferry, smoga gerak  langkahmu bisa menginspirasi jutaan pemuda di seluruh tanah air"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@DirtySwab,""Buat yg suka nyiyir mending mati aja kalian, energi lu buruk kalo gabisa bantu udah diem aja nyet gausah nyiyir sana sini"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@juandaaris6555,""INFO ACEH";
1.PEMERINTAH TIDAK MAU BANTUAN ORANG ASING KRN MALU HARGA DIRI BANGSA;
2.PEMERINTAH JUGA AKAN MEMBERHENTIKAN BANTUAN JIKA INGIN MENGAMBIL BANTUAN ASING ;
;
TAPI PEMERINTAH LUPA BAHWA UTANG NEGARA JUGA BERASAL DARI ASING;
;
INFEVTOR JUGA ORANG ASING ;
;
KKN JUGA BANTUAN ORANG ASING;
;
MENOWARI JUGA KEBANYAK ORANG ASING ;
;
SAHAM YG ADA DI PEMERINTAH JUGA SAHAM ASING ;
;
;
PEMERINTAH JUGA MENGATAKAN JAGA RAJA EMPAT JGN SAMPAI WISATAWAN MERUSAKNYA PADAHAL ITU OLAH ASING ;
;
PENAMBANG KAYU OLAH ASING;
RUSAK GUNUNG OLAH ASING;
TANAH DI KERUK OLAH ASING ;
;
POLITIK JUGA ADA DANA ASING ;
;
MINYAK BUMI DI OLAH ASING;
GAS BUMI DI CAMPUR TANGAN ASING;
EMAS KERJA SAMA DGN ASING ;
;
ALUTSISTA JUGA KERJA DGN ORANG ASING;
;
;
MALUIN NEGARA ATAU MALUIN HARGA DIRI BANGSA;
;
;
PADAHAL SEMUA ADA DI INDONESIA SEMUA ADA KERJA SAMA DGN ASING ;
;
"TAPI SAAT ACEH BUTUH BANTUAN GK BOLEH ADA BANTUAN ASING"",1,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@ifududin9045,""Gak kehitung berapa tepuk tangan spontan gw selama nonton ni podcast, dan yapp terharu dan nangis dikit pas liat kolom komentarnya, bangga bgt ternyata ditengah negara yg sebobrok ini masih ada jiwa jiwa malaikat yg bermanfaat bagi org lain. Makasih banyak bang Ferry entah kenapa gw buwanggga banget sama elu. Dan buat korban yg masih terdampak, semangat yakk semoga lekas membaik semuanya sehat sehat selalu.";
"Salam dari Surabaya."",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@susiawalia5410,""Semangat Bang,klo bukan orang """"yg gercep kasian sodara kiya ug kena musibah"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@NormaDinatanegara-t1y,""Salim sembah sujud sungkem ulun kehadapan ksatriawan.... Ananda sekalian. sedulur.... putra putri wayah....  dan ksatriawati bumi Pertiwi Nuswontoro ( Indonesia) ";
;
Ayahanda & Ibunda... Pak lek.  Buk lek... ;
perkenankanlah ulun menyeru..... menghimbau saudara... Saudari sedulur semuanya... ;
;
marilah kita menuju gerbang ZAMAN GERA GORO WAKIL ALL KK. ( gerakan Rakyat Gotong Royong Mewakili Seluruh Kepala Keluarga). Bahu membahu mewujudkan cita cita luhur para Leluhur Bumi pertiwi untuk memayu hayu ning bowono.. agar rakyat mendapatkan MAKanan MURah ( mudah) ( MAKMUR). Ijo royo royo mudah sandang pangan.  Adem ayem sosro rajarjo.  Gemah ripah rapih ripeh. loh jinawi.;
;
 BERSATULAH PUTRA PUTRI NEGARA BANGSA INDONESIA;
AYOO.. HIDUPKAN GARUDA PANCASILA agar burung GARUDA menetaskan telur...;
;
DENYUT JANTUNG HATI GARUDA PANCASILA adalah CAKRA MANGGILINGAN.  TIGA RODA YANG BERPUTAR ABADI;
;
MARI KITA MULAI dari membuat CAKRA MANGGILINGAN. ;
;
untuk menggerakkan mesin ( musim) free energy / daya serba guna.  Berfungsi sebagai;
;
1. Musim free energy. berguna ;
membalikkan air terjun ke kaldera.;
/ kawah gunung. Dan danau buatan;
 / pemerataan air Ke Tanah tandus.. ladang kering. sawah tadah hujan;
;
2.;
 listrik dan air bersih gratis bagi warga yang membutuhkan. ( rakyat yang hartanya dibawah satu milyar). ;
;
3. antisipasi tanah longsor dengan cara pengerukan pakai tekanan air terkendali.  lumpurnya dialiri untuk mencatak sawah baru. di Jurang ;
;
4.;
 mencegah banjir.dengan membuat area resapan hujan digunung;
;
5. ;
pendulang logam mulia. dan batu pualam permata. ;
;
6.;
 membuat blok batu pembuatan candi/  membangun rumah. ;
;
7.;
 melatih burung / satwa terbang/ kelelawar untuk membantu petani. ;
;
8;
. pemerataan embung disetiap padukuhan. ;
;
9;
 memotong;
 gunung dengan air bertekanan tinggi dari cakra manggilingan. agar terbentang tanah datar demi pemerataan kependudukan yang nyaman ( berdiri sama tinggi.  duduk sama rendah) ;
;
10.;
 membuat sungai baru/ Kali. ;
11. ;
membangun laboratorium alam untuk pengembangan species hewan dan tumbuhan baru/;
;
 taman tani buah buahan pangan dan bunga. DaN ternak. Unggas lepas liar.  ( kayangan ( kota budaya) digunung datar . Yang dilingkari sungai bentuk O. ;
;
"12. meredam erupsi gunung api"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@OktavianusKokohRealOfficial,Hadir,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@RiriWidowati,dia menjelaskan apa yang harusnya di jelaskan menteri-menteri... dan menteri-menteri mengkritik netizen dan relawan seperti yang seharusnya dilakukan warga kepada pemerintah...,1,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@kontendigital8221,selamat ulang tahun kanda ferry,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Vivov50Simpang,Mantap bg,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Ranstroops,OM DED PLEASE DATANG KE ACEH,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@rizqilillah2964,""Sehat selalu, Bang Ferry ❤"",1,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@sutomosup,""Presiden dari 02 emang begini kualitas nya orang keberlanjutan jokowi, kabinet nya aja banyak titipan dari jokowi"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Panda4-m6j,""bang Ferry, dimata kami dirimu merupakan sosok yang sangat inspiratif bagi anak muda, bahkan pahlawan dari byk pahlawan yg tidak terlihat bagi sebagian orang. tetaplah berjalan di jalan kebenaran. jaga kesehatan... kami selalu mendukung orang di jalan kebenaran."",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@ridwanwan255,Sehat selalu bg,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@putriria,""Kok bisa ya dengan situasi begini ada orang-orang yang punya energi untuk bilang nyinyir sama relawan yang benar-benar terjun, mau itu secara langsung atau tidak langsung"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Sakuraaa777,Yang setuju bang ferry jadi presiden tahun 2031-2040,1,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@ermamima,""Sehat² bang fer, negara ini masih butuh orang spt anda😢"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@RatihApriyaniSuyantoPutri,10 M yg sangat terlihat dampakny di lapangan daripada yg di claim triliunan yg sudah di turunkan tapi dampakny tidak terlihat seperti triliunan sedih banget 😢 begitu masih nyindir warga sipil si paling” padahal itu tanggung jawab  dia di pemerintahan bukan tanggung jawabnya warga sipil malah sebenarnya bapak” pemerintahan ini yg harusnya lebih terbuka dana triliunan itu di pake buat apa aja kan itu duit masyarakat bukan duit bapak sendirian,70,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Naeelsya,Masyarakat Indonesia sudah tak percaya dengan pejabat😢😢😢kami sudah krisis kepercayaan...kami lebih memilih seorang biasa tapi amanah...,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@ashabina1,""Salut.. buat bang ferry  ,dgn kondisi fisik yg tdk optimal,  lg sakit ,tdk punya power dekat dgn  pejabat justru  berani bertarung  nyawa jadi """"Kurir rakyat indonesia """" datang gercep ke tempat bencana.  Bravo ,.! ";
" Get well soon bang ferry."",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@NAShahin0607,PADAHAL BANYAK BANGET YG MAU MENJATUHKAN DIA LOH. TAPI ABANG INI GAK PERNAH SPOILER DAN GAK PERNAH BILANG DIA DI HALANGI PEMERINTAH JUSTRU. YA ALLAH. MURAH REJEKI MU SEKELUARGA BANG FER. Aaaaaaamiin. 🥺🥺🥺😔🤲🏼🤲🏼,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@sribudisusilowati833,""Ya Alloh,muliakanlahn orang2 yg memuliakan manusia"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@AsiyahAsiyah-y6j,Negara kapitalis tidak akan pernah memikirkan rakyat...yg ada morotin rakyat lewat pajak....padahal sumber daya alam melimpah....jadi hari ini rakyat seperti tidak punya pemimpin....ya jadi harus berjuang sendiri......solusi ya hanya kembali ke islam...karena Islam rahmatan lil alamin,0,2025-12-20 00:00:00;
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@zx4772,bang fer kok ga pake rompi pas disana 😂,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@matsuka6,""Kenapa si bahlil, zulhas, rajajuli masih dipiara yak?? Heran gw, segitu tersanderanya si macan lansia"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@officer01-w9s,semua berjalan sesuai dengan kepentingan,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@milk6-,""Bener2 respect atas semua yang dilakukan bg ferry irwandi, dan orang - orang seperti beliau KDM contohnya ";
;
Namun, kalopun beliau nyalon gitu ke sektor pemerintahan, without losing any respect. I don't have any faith anymore, not personally to him.. but the government itself ;
;
"Karena gua udah ga percaya sama pemerintah siapapun itu.. Gua golput udah dari awal bisa nyoblos 2019"",1,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@putripalupi6094,""Sepanjang podcast ini berapa batang rokok😅";
"Bang Ferry udh lah sakit masih merokok,duh..."",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@rindudendam926,""terima kasih, bang Ferry. 👍"",0,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@ernovanTV,""42:37 agak nebak ini mungkin juga karena pain killer yg dikasih dokter. jadi sakit nggak dirasa, pikiran lebih tenang, dan badan bisa lbih fokus utk mikir dan ngerjain sesuatu.."",2,2025-12-20 00:00:00";
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@Pusaka2Nealka-nr9et,""Terimakasih om ded sudah ikut bantu Sumatera, dan sehat sehat untuk feri dan team relawan. Semoga ini jadi timbangan amal baik  yang sangat berat untuk kalian semua . Barokallah"",0,2025-12-20 00:00:00";
SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@furqanarifinjidan4635,❤❤❤❤❤,0,2025-12-20 00:00:00;
"SAYA HANYA KURIR MASYARAKAT‼️STOP TUDUH SAYA MACAM2, SOSMED DAN LAPANGAN BERBEDA‼️- Ferry Irwandi,@imansaepuloh9786,""Thkyou bang ferry dan om Dedy, Sehat2 orang Sehat🤲🏻🤲🏻🤲🏻"",0,2025-12-20 00:00:00";
