Judul Video,Akun Komentar,Komentar,Likes,Waktu Komentar;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@prfromaga9910,2 orang ini tetep kalo lawan nya dustin pasti kewalahan wkwk,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Pulang-Pergi1234,Yang satu ngarang yg satu asal jeplak 🤣,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@adityasetyo7696,Bang rigen bang..atau bang surya insomnia,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@abcdest52,bertemu Raja Terakhir wkwkwk,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ArmanMando-uh6lz,Sakit perut 😂,0,2025-12-22 06:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rx952,""ahhh 30 mnit doang ga seruu,,90 mnit dong"",0,2025-12-22 06:00:00";
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@filandianto,""ini kalau pembawa acara orang dua itu, hancur dunia persilatan...hahahhaa"",0,2025-12-22 06:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Goizyy911,counter mereka berdua cuma aldi Gallagher taher,0,2025-12-22 06:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@armankeceng4674,""Gabungkan KUKUH, INDRA dan FAJAR🔥🔥🔥🔥🔥"",0,2025-12-22 06:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@fikri_muh_yusuf,Fajar x Kukuh,0,2025-12-22 06:00:00;
